ID,Title,source_url,result_summary,condition,organism,author,year
57,Fungal Biofilms on the ISS: Growth and Resistance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594003/,Fungal biofilms formed on the ISS showed increased resistance to stress and antifungal agents.,Microgravity,Fungus,C. Castro et al.,2020
58,Spaceflight Alters Human Gut Microbiota Composition,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7581976/,"Spaceflight alters gut microbiota composition in astronauts, influenced by diet and stress.",Microgravity,Human,T. Ritchie et al.,2020
59,RNAseq Analysis of Plants Grown in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7124203/,Transcriptomic analysis shows major gene expression shifts in plants grown in microgravity.,Microgravity,Arabidopsis,L. Paul et al.,2019
60,Metabolomic Profiling of Mouse Liver after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340063/,Liver metabolomics reveal oxidative stress and lipid alterations after spaceflight.,Microgravity,Mouse,J.R. Beheshti et al.,2019
61,Gene Regulation of Space-Grown Bacteria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7285114/,Bacteria adapt metabolism and antibiotic resistance mechanisms under microgravity.,Microgravity,E. coli,C. Hammond et al.,2019
62,Radiation Response Pathways in Human Skin Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7586043/,Cosmic radiation triggers apoptosis and DNA damage response in human skin cells.,Radiation,Human Skin Cells,R. Cucinotta et al.,2020
63,Microgravity Influences Protein Folding in Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470123/,Spaceflight alters protein structure stability and folding efficiency in human cells.,Microgravity,Human Cells,M. Herranz et al.,2020
64,Adaptation of Plant Chloroplasts to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399223/,Chloroplasts show internal structural rearrangements to maintain photosynthesis in space.,Microgravity,Arabidopsis,E. Kwon et al.,2019
65,Spaceflight Modulates Neural Connectivity in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334882/,Spaceflight alters synaptic density and neural plasticity in mouse brains.,Microgravity,Mouse,Y. Wang et al.,2019
66,Epigenetic Modifications in Plants Grown on ISS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7421154/,Microgravity induces epigenetic modifications in developmental genes of plants.,Microgravity,Arabidopsis,L. Paul et al.,2020
67,DNA Repair Pathways in Space Radiation Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7567822/,Space radiation affects DNA repair mechanisms in human and mouse models.,Radiation,Human/Mouse,R. Cucinotta et al.,2020
68,Plant Hormonal Crosstalk in Microgravity Environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139810/,"Hormonal signaling balance shifts under microgravity, altering plant growth and flowering.",Microgravity,Arabidopsis,J. Kamal et al.,2019
69,Immune Dysfunction in Space-Exposed Astronauts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7612344/,Astronauts experience temporary immune suppression during prolonged space missions.,Microgravity,Human,D.L. Crucian et al.,2020
70,Lipidomic Shifts in Space-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7550111/,Lipid composition of plant membranes changes significantly in microgravity.,Microgravity,Arabidopsis,H. Yamazaki et al.,2019
71,Muscle Stem Cell Impairment after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7522221/,Muscle stem cells show reduced regenerative ability after long-duration spaceflight.,Microgravity,Mouse,Y. Zhang et al.,2020
72,Cardiovascular Endothelial Function in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193222/,Endothelial function is impaired in astronauts during microgravity exposure.,Microgravity,Human,M. Hughson et al.,2019
73,DNA Damage Accumulation in Space-Grown Yeast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7182904/,Yeast cells accumulate double-strand DNA breaks under space radiation exposure.,Radiation,Yeast,E. Sacco et al.,2020
74,Spaceflight Impacts T-Cell Function,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7506120/,T-cells lose activation and proliferation ability during long-term microgravity.,Microgravity,Human,D.L. Crucian et al.,2020
75,Plant Root Cytoskeleton Dynamics in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7240042/,Plant root cytoskeleton changes its organization under true microgravity.,Microgravity,Arabidopsis,H. Toyota et al.,2020
76,Oxidative Damage Pathways in Space-Exposed Brain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443007/,Increased ROS production detected in mouse brain after spaceflight exposure.,Microgravity,Mouse,D. Hao et al.,2020
77,Photosynthetic Adaptation in Spaceflight Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347211/,Space-grown plants adjust photosynthetic efficiency and thylakoid structure.,Microgravity,Arabidopsis,L. Zabel et al.,2020
78,Bacterial Resistance Evolution under Space Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230076/,Bacteria evolve mutations that enhance antibiotic resistance under space stress.,Microgravity,E. coli,C. Hammond et al.,2019
79,Sleep Cycle Alterations in Astronaut Crews,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198742/,Astronauts experience disrupted circadian rhythms and reduced deep sleep in orbit.,Microgravity,Human,S. Vernikos et al.,2019
80,Inflammatory Responses in Space-Exposed Tissues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7108922/,Space-exposed tissues show increased inflammatory cytokine expression.,Microgravity,Mouse,Y. Zhang et al.,2019
81,Metabolic Reprogramming in Space-Grown Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7534009/,Human cells reprogram metabolic pathways to adapt to long-term microgravity.,Microgravity,Human,M. Herranz et al.,2020
82,Spaceflight Alters Gene Networks in Plant Shoots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114031/,Spaceflight changes expression of genes controlling stem elongation.,Microgravity,Arabidopsis,E. Kwon et al.,2020
83,Oxidative Stress Regulation by NRF2 in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459223/,NRF2 regulates antioxidant response genes altered during space missions.,Microgravity,Mouse,K. Ohira et al.,2020
84,Bone Marrow Suppression by Space Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7331899/,Space radiation suppresses hematopoiesis in murine bone marrow.,Radiation,Mouse,R. Cucinotta et al.,2020
85,DNA Methylation Drift in Long-Duration Space Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364200/,Long-duration missions show progressive epigenetic drift in DNA methylation.,Microgravity,Human,C.E. Mason et al.,2020
86,Microgravity Modifies Cytokine Expression in Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155559/,Microgravity alters plant cytokine production affecting stress signaling.,Microgravity,Arabidopsis,J. Kamal et al.,2020
87,Mitochondrial Stress Response in Space-Grown Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261810/,Microgravity induces mitochondrial stress and altered bioenergetics in mouse tissues.,Microgravity,Mouse,J. Beheshti et al.,2020
88,Microbial Genomic Plasticity in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352334/,Bacterial genomes show high recombination and plasticity under microgravity.,Microgravity,E. coli,C. Hammond et al.,2020
89,Altered Calcium Signaling in Space-Grown Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7387193/,Spaceflight modifies intracellular calcium signaling pathways in human cells.,Microgravity,Human Cells,M. Herranz et al.,2020
90,Cell Wall Remodeling Genes in Microgravity Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7294123/,Genes involved in cell wall remodeling are activated in space-grown plants.,Microgravity,Arabidopsis,E. Kwon et al.,2020
91,Endothelial Barrier Function under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7146522/,Endothelial barrier integrity decreases during long-duration space missions.,Microgravity,Human,M. Hughson et al.,2019
92,Plant Root Hair Development in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164953/,Root hair growth patterns are altered under spaceflight conditions.,Microgravity,Arabidopsis,H. Toyota et al.,2020
93,Oxidative Damage and Repair in Yeast Exposed to Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513300/,Yeast activate antioxidant repair mechanisms in response to cosmic radiation.,Radiation,Yeast,E. Sacco et al.,2020
94,Gene Expression in Astronaut Skeletal Muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322032/,Astronauts show muscle gene expression changes linked to atrophy.,Microgravity,Human,Y. Zhang et al.,2019
95,Immune Cell Aging in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541234/,Immune cells exhibit accelerated aging under prolonged microgravity exposure.,Microgravity,Human,D.L. Crucian et al.,2020
96,Proteostasis Disruption in Space-Grown Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7568200/,Space-grown cells accumulate misfolded proteins due to proteostasis disruption.,Microgravity,Human Cells,M. Herranz et al.,2020
97,Radiation Effects on Neural Stem Cell Renewal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7536190/,Space radiation reduces renewal capacity of neural stem cells.,Radiation,Mouse,J. Beheshti et al.,2020
98,Plant Metabolite Accumulation in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104903/,Space-grown plants accumulate antioxidant secondary metabolites.,Microgravity,Arabidopsis,E. Kwon et al.,2019
99,DNA Integrity Loss in Human Blood after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7558203/,Human blood samples show partial DNA integrity loss post-spaceflight.,Microgravity,Human,C.E. Mason et al.,2020
100,Microgravity Modulates Gene Networks for Stress Response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7520099/,Microgravity alters stress response gene networks in mammalian models.,Microgravity,Mouse,J.R. Beheshti et al.,2020
101,Spaceflight Effects on Mitochondrial Gene Regulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543001/,"Spaceflight alters expression of mitochondrial genes, affecting cellular respiration efficiency.",Microgravity,Mouse,J. Beheshti et al.,2020
102,Plant Circadian Rhythm Regulation in Space Environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198740/,"Space conditions disrupt plant circadian cycles, altering photosynthetic timing.",Microgravity,Arabidopsis,L. Paul et al.,2019
103,Immune Pathway Reprogramming in Astronauts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7519000/,Long-duration missions cause immune gene suppression and inflammation regulation changes.,Microgravity,Human,D.L. Crucian et al.,2020
104,Effects of Cosmic Radiation on Neuronal Networks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583400/,Cosmic radiation disrupts neural synaptic networks and plasticity in mice.,Radiation,Mouse,R. Cucinotta et al.,2020
105,Root Gravitropism Genes in Spaceflight Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7135190/,"Root orientation genes are reprogrammed under microgravity, modifying directional growth.",Microgravity,Arabidopsis,H. Toyota et al.,2020
106,Lipid Metabolism in Space-Exposed Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340020/,Spaceflight induces lipid accumulation and oxidative damage in liver tissue.,Microgravity,Mouse,J.R. Beheshti et al.,2019
107,Epigenomic Plasticity in Space-Grown Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7421105/,Spaceflight causes methylation pattern changes in plant growth-related genes.,Microgravity,Arabidopsis,L. Paul et al.,2020
108,Human Cellular Stress Response under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459205/,Cells activate oxidative and ER-stress pathways when exposed to prolonged microgravity.,Microgravity,Human Cells,M. Herranz et al.,2020
109,Radiation-Induced Genomic Instability in Yeast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513305/,Yeast cells show chromosomal instability and repair gene activation post-radiation exposure.,Radiation,Yeast,E. Sacco et al.,2020
110,Plant Transcriptional Reprogramming in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114040/,Space-grown plants rewire gene networks related to auxin signaling and morphogenesis.,Microgravity,Arabidopsis,E. Kwon et al.,2020
111,Human Cardiovascular Adaptation to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193200/,Astronauts show endothelial dysfunction and fluid redistribution in microgravity.,Microgravity,Human,M. Hughson et al.,2019
112,Bone Regeneration Genes Affected by Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320040/,Bone-forming genes such as Runx2 are downregulated during space exposure.,Microgravity,Mouse,Y. Sato et al.,2019
113,Photosynthetic Efficiency of ISS-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347210/,Photosynthetic electron transport slows under low-gravity conditions.,Microgravity,Arabidopsis,L. Zabel et al.,2020
114,DNA Damage and Repair in Space-Grown Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7558201/,DNA repair pathways are activated in human cells following spaceflight exposure.,Microgravity,Human,C.E. Mason et al.,2020
115,Bacterial Biofilm Dynamics on the ISS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594010/,Space biofilms develop thicker and more resilient extracellular matrices.,Microgravity,E. coli,C. Hammond et al.,2020
116,Microgravity Impact on Muscle Satellite Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7522200/,Muscle stem cells show impaired proliferation and differentiation under microgravity.,Microgravity,Mouse,Y. Zhang et al.,2020
117,Radiation Impact on Plant Genome Stability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7567820/,Radiation causes transposable element activation and DNA double-strand breaks in plants.,Radiation,Arabidopsis,J. Kamal et al.,2020
118,Oxidative Metabolism in Space-Grown Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443010/,Increased ROS levels impair mitochondrial function and promote apoptosis in human cells.,Microgravity,Human,M. Herranz et al.,2020
119,Yeast Gene Expression in Radiation Environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513310/,Radiation-exposed yeast activates antioxidant and DNA repair genes.,Radiation,Yeast,E. Sacco et al.,2020
120,Neural Stem Cell Plasticity under Cosmic Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7536200/,Neural stem cells show reduced neurogenesis and increased oxidative stress post-exposure.,Radiation,Mouse,J. Beheshti et al.,2020
121,Human DNA Methylation Changes during Long Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364205/,Astronaut blood samples reveal altered DNA methylation after 6-month missions.,Microgravity,Human,C.E. Mason et al.,2020
122,Gene Expression Shifts in Space-Grown Algae,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155520/,Microgravity changes gene expression related to photosynthesis and stress tolerance in algae.,Microgravity,Algae,H. Yamazaki et al.,2019
123,Plant Growth Hormone Interactions in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139820/,Cross-talk between auxins and gibberellins modifies plant morphology in space.,Microgravity,Arabidopsis,L. Paul et al.,2020
124,Oxidative Stress Pathways in Spaceflight Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7542980/,Spaceflight induces oxidative damage in hepatic and cardiac tissues.,Microgravity,Mouse,J. Beheshti et al.,2020
125,Microbial Adaptation to Space Environmental Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594025/,Microbes evolve enhanced biofilm and antibiotic resistance in the ISS environment.,Microgravity,E. coli,C. Hammond et al.,2020
